port_id,port_type,port_name,qualified_port_name,port_annotation_id,data_id
1,in,input_csv_file,evolve_csv<-input_csv_file,3,1
2,out,output_csv_file,evolve_csv->output_csv_file,6,2
3,out,evolve_log,evolve_csv->evolve_log,9,3
4,out,evolve_log,evolve_csv.initialize_run->evolve_log,14,4
5,out,log_file_name,evolve_csv.initialize_run->log_file_name,16,5
6,in,input_csv_file,evolve_csv.read_num<-input_csv_file,20,6
7,in,log_file_name,evolve_csv.read_num<-log_file_name,22,5
8,out,num_old,evolve_csv.read_num->num_old,23,7
9,in,num_old,evolve_csv.update_num<-num_old,29,7
10,out,output_csv_file,evolve_csv.update_num->output_csv_file,31,8
11,out,evolve_log,evolve_csv.update_num->evolve_log,34,4
12,param,message,timestamp<-message,42,9
