resource_id,log_entry_id,log_variable_id,log_variable_value
3,1,1,"2016-07-20-23:33:00 "
3,1,2,1
3,1,3,1
3,1,4,2
3,2,1,"2016-07-20-23:33:00 "
3,2,2,2
3,2,3,2
3,2,4,3
3,3,1,"2016-07-20-23:33:00 "
3,3,2,3
3,3,3,3
3,3,4,4
3,4,1,"2016-07-20-23:33:00 "
3,4,2,4
3,4,3,4
3,4,4,5
3,5,1,"2016-07-20-23:33:00 "
3,5,2,5
3,5,3,5
3,5,4,6
3,6,1,"2016-07-20-23:33:00 "
3,6,2,6
3,6,3,6
3,6,4,7
3,7,1,"2016-07-20-23:33:00 "
3,7,2,7
3,7,3,7
3,7,4,8
3,8,1,"2016-07-20-23:33:00 "
3,8,2,8
3,8,3,8
3,8,4,9
3,9,1,"2016-07-20-23:33:00 "
3,9,2,9
3,9,3,9
3,9,4,10
3,10,5,tal iteration times: 9
